col_1,Stage,Sub-Stage,Item,Well Type,Requirement - under either EPA's UIC Class VI or potentially,Adjust Capital Cost to Last Year of Permitting,Capitalize or Expense,Depreciation Category,"Well-Drilling, Monitoring, or Labor (as categorized in model","For Fin. Resp.: Corr. Action, Inject. Well Plug. or Em. & Re",Financial Responsibility Category,Categories for Detailed Cost Breakdown,Cost Component Name,Quantity,Units,Multiplier,Multiplier Units,Cost Component Name,Quantity,Units,Multiplier,Multiplier Units,Cost Component Name,Quantity
15,Site Selection & Site Characterization,2.2 Purchase/Acquire & analyze: (data/software not acquired earlier),Software,N/A,"Yes, § 146.83",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Acquire software,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
16,Site Selection & Site Characterization,2.2 Purchase/Acquire & analyze: (data/software not acquired earlier),"Periodic digital color infrared orthoimager (CIR) or hyperspectral imaging to detect changes to vegetation, planning Q&A",N/A,?,N/A,Capital,Site Sel. & Site Char.,Other,Not Incl,Not Incl,Acquire existing data,,,,,,,,,,,,
17,Site Selection & Site Characterization,2.2 Purchase/Acquire & analyze: (data/software not acquired earlier),Laboratory Testing,N/A,?,N/A,Capital,Site Sel. & Site Char.,New,Not Incl,Not Incl,Acquire existing data,,,,,,,,,,,,
18,Site Selection & Site Characterization,2.3 Prepare:,List names and depth of all potentially affected USDWs,N/A,"Yes, § 144.51",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
19,Site Selection & Site Characterization,2.3 Prepare:,Geochemical information and maps/cross-sections on subsurface aquifers,N/A,"Yes, § 145.23 (9)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
20,Site Selection & Site Characterization,2.3 Prepare:,Information on water-rock-CO2 geochemistry and mineral reactions,N/A,"Yes, § 146.82",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
21,Site Selection & Site Characterization,2.3 Prepare:,List of penetrations into injection zone within AoR (from well history database),N/A,"Yes, § 146.90 (d) (1)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
22,Site Selection & Site Characterization,2.3 Prepare:,List of penetrations into containment systems within AoR (from well history database),N/A,"Yes, § 146.90 (d) (1)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
23,Site Selection & Site Characterization,2.3 Prepare:,List of water wells within AoR (from public data),N/A,"Yes, § 146.82 (a) (2)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
24,Site Selection & Site Characterization,2.3 Prepare:,Maps and cross-sections of local geologic structure,N/A,"Yes, § 146.82 (a) (2)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
25,Site Selection & Site Characterization,2.3 Prepare:,"Prepare a geologic characterization report demonstrating: suitability of receiving zone, prospective storage resource and injectivity, trapping mechanism free of nonsealing faults, competent confining system, etc.",N/A,"Yes, Table IV-1 (1)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
26,Site Selection & Site Characterization,2.3 Prepare:,Exploration plan (EP) per surface location,N/A,No,N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
27,Site Selection & Site Characterization,2.3 Prepare:,"Baseline data for: Atmosphere, Groundwater, Above Seal",N/A,"Yes, § 146.87",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
28,Site Selection & Site Characterization,2.4 Modeling:,Simple fluid flow calculations to predict CO2 fluid flow - per site,N/A,"Yes, Table IV-3",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Design,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
29,Site Selection & Site Characterization,2.4 Modeling:,Simple fluid flow calculations to predict CO2 fluid flow - per injection well,Injection,"Yes, Table IV-3",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Design,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
30,Site Selection & Site Characterization,2.4 Modeling:,Reservoir Model: 100 years - per site,N/A,"Yes, (IV) (B) (1)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Design,Engineer Labor Hours,500,Hours,128.676,$/Hour,Engineer Labor Hours,500,Hours,128.676,$/Hour,Engineer Labor Hours,500
31,Site Selection & Site Characterization,2.4 Modeling:,Reservoir Model: 100 years - per injection well,Injection,"Yes, (IV) (B) (1)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Design,Engineer Labor Hours,24,Hours,128.676,$/Hour,Engineer Labor Hours,24,Hours,128.676,$/Hour,Engineer Labor Hours,24
32,Site Selection & Site Characterization,2.4 Modeling:,"Reservoir Model: 10,000 years - per site",N/A,"Yes, (IV) (B) (1)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Design,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
33,Site Selection & Site Characterization,2.4 Modeling:,"Reservoir Model: 10,000 years - per injection well",Injection,"Yes, (IV) (B) (1)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Design,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
34,Site Selection & Site Characterization,2.4 Modeling:,Seismic - tie well control to seismic- per site,N/A,"Yes, § 146.82",N/A,Capital,Seismic,Labor,Not Incl,Not Incl,Design,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
35,Site Selection & Site Characterization,2.4 Modeling:,Seismic - tie well control to seismic - per injection well,Injection,"Yes, § 146.82",N/A,Capital,Seismic,Labor,Not Incl,Not Incl,Design,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
36,Site Selection & Site Characterization,2.5 Corrective Action Planning,Evaluate integrity of construction and record of completion and/or plugging of existing wells that penetrate containment system - per site,N/A,"Yes, (III) (B)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Corrective action,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
37,Site Selection & Site Characterization,2.5 Corrective Action Planning,Evaluate integrity of construction and record of completion and/or plugging of existing wells that penetrate containment system - per old well,N/A,"Yes, (III) (B)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Corrective action,Engineer Labor Hours,6,Hours,128.676,$/Hour,Engineer Labor Hours,6,Hours,128.676,$/Hour,Engineer Labor Hours,6
38,Site Selection & Site Characterization,2.5 Corrective Action Planning,Evaluate integrity of construction and record of completion and/or plugging of existing shallow wells that pose a threat to USDWs - per site,N/A,"Yes, (III) (B)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Corrective action,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
39,Site Selection & Site Characterization,2.5 Corrective Action Planning,Evaluate integrity of construction and record of completion and/or plugging of existing shallow wells that pose a threat to USDWs - per old well,N/A,"Yes, (III) (B)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Corrective action,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
40,Site Selection & Site Characterization,2.6 Front-End Engineering & Design,Injection well(s) - per site,N/A,"Yes, § 146.86 and (III) (C) ",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Design,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
41,Site Selection & Site Characterization,2.6 Front-End Engineering & Design,Injection well(s) - per well,Injection,"Yes, § 146.86 and (III) (C) ",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Design,,,,,,,,,,,,
42,Site Selection & Site Characterization,2.6 Front-End Engineering & Design,Monitoring wells (above seal & in reservoir) - per site,N/A,"No, but the well is § 146.90",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Design,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
43,Site Selection & Site Characterization,2.6 Front-End Engineering & Design,Monitoring wells (above seal & in reservoir) - per well,All Monitoring,"No, but the well is § 146.90",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Design,,,,,,,,,,,,
44,Site Selection & Site Characterization,2.6 Front-End Engineering & Design,Surface facilities and intra-field pipelines - per site,N/A,No,N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Design,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
45,Site Selection & Site Characterization,2.7 Preparation of plans for Class VI permit,AoR and corrective action,N/A,"Yes, § 146.84(e) ",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
46,Site Selection & Site Characterization,2.7 Preparation of plans for Class VI permit,Testing and monitoring plan,N/A,"Yes, § 146.90(j), 30 CFR 582.23",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
47,Site Selection & Site Characterization,2.7 Preparation of plans for Class VI permit,Injection well plugging plan,N/A,"Yes, (III) (A)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,120,Hours,128.676,$/Hour,Engineer Labor Hours,120,Hours,128.676,$/Hour,Engineer Labor Hours,120
48,Site Selection & Site Characterization,2.7 Preparation of plans for Class VI permit,PISC and site closure plan,N/A,"Yes, (III) (A)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
49,Site Selection & Site Characterization,2.7 Preparation of plans for Class VI permit,Emergency and remedial response plan,N/A,"Yes, § 146.94(d)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
50,Site Selection & Site Characterization,2.7 Preparation of plans for Class VI permit,Financial responsibility,N/A,"Yes, § 146.85",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,4,Hours,128.676,$/Hour,Engineer Labor Hours,4,Hours,128.676,$/Hour,Engineer Labor Hours,4
51,Site Selection & Site Characterization,2.7 Preparation of plans for Class VI permit,Exploration Plan,N/A,"Yes, 30 CFR 550.201",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,120,Hours,128.676,$/Hour,Engineer Labor Hours,120,Hours,128.676,$/Hour,Engineer Labor Hours,120
52,Site Selection & Site Characterization,2.7 Preparation of plans for Class VI permit,Development and Production Plan,N/A,"Yes, 30 CFR 550.201",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,2,Hours,128.676,$/Hour,Engineer Labor Hours,2,Hours,128.676,$/Hour,Engineer Labor Hours,2
53,Site Selection & Site Characterization,2.7 Preparation of plans for Class VI permit,Development Operations Coordination Document (DOCD),N/A,"Yes, 30 CFR 550.201",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,160,Hours,128.676,$/Hour,Engineer Labor Hours,160,Hours,128.676,$/Hour,Engineer Labor Hours,160
54,Site Selection & Site Characterization,2.7 Preparation of plans for Class VI permit,Drilling Plan and Application to Drill Info Sheet,N/A,"Yes, 30 CFR 251.7, 30 CFR 581.7",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,4,Hours,128.676,$/Hour,Engineer Labor Hours,4,Hours,128.676,$/Hour,Engineer Labor Hours,4
55,Site Selection & Site Characterization,2.7 Preparation of plans for Class VI permit,Geological and geophysical (G&G) prospecting permit,N/A,"Yes, 30 CFR 551.4",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Permits,Engineer Labor Hours,96,Hours,128.676,$/Hour,Engineer Labor Hours,96,Hours,128.676,$/Hour,Engineer Labor Hours,96
56,Site Selection & Site Characterization,2.7 Preparation of plans for Class VI permit,Deepwater Operations Plan,N/A,"Yes, 30 CFR 250.201, 20 CFR 286 - 295",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
57,Site Selection & Site Characterization,2.7 Preparation of plans for Class VI permit,Conceptual Plan,N/A,"Yes, 30 CFR 250.288 - 289",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
58,Site Selection & Site Characterization,2.7 Preparation of plans for Class VI permit,"Design, Fabrication, and Verification Plans",N/A,"Yes, 30 CFR 250.912",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Reporting-Upfront,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
59,PISC and Site Closure,2.7 Preparation of plans for Class VI permit,Decommissioning Plan,N/A,"Yes, 30 CFR 250.1708(a)(3)",N/A,Expense,Expense,Labor,Not Incl,PISC,Reporting-Upfront,Engineer Labor Hours,48,Hours,128.676,$/Hour,Engineer Labor Hours,48,Hours,128.676,$/Hour,Engineer Labor Hours,48
60,Site Selection & Site Characterization,2.8 Land leasing:,"Evaluate leases, secure pore space rights and surface access - per site",N/A,"Yes, (II) (G)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Lease and surface access,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
61,Site Selection & Site Characterization,2.8 Land leasing:,"Evaluate leases, secure pore space rights and surface access - per land",N/A,"Yes, (II) (G)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Lease and surface access,,,,,,,,,,,,
62,Site Selection & Site Characterization,2.8 Land leasing:,Lease bonus - per site,N/A,"Yes, (III) (K)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Lease and surface access,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
63,Site Selection & Site Characterization,2.8 Land leasing:,Lease bonus - per land,N/A,No,N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Lease and surface access,,,,,,,,,,,,
64,Site Selection & Site Characterization,2.8 Land leasing:,Rental fee - per land,N/A,No,N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Lease and surface access,,,,,,,,,,,,
65,Site Selection & Site Characterization,2.8 Land leasing:,Lease block sale cost,N/A,No,N/A,Capital,Site Sel. & Site Char.,Other,Not Incl,Not Incl,Lease and surface access,,,,,,,,,,,,
66,Site Selection & Site Characterization,2.8 Land leasing:,Public Outreach - per site,N/A,No,N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Lease and surface access,Engineer Labor Hours,20,Hours,128.676,$/Hour,Engineer Labor Hours,20,Hours,128.676,$/Hour,Engineer Labor Hours,20
67,Site Selection & Site Characterization,2.8 Land leasing:,Public Outreach - per land,N/A,"Yes, (III) (K)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Public outreach,,,,,,,,,,,,
68,Permitting & Site Construction,2.9 Permits:,BOEM/BSEE Issued CO2 Injection Permit - per site,N/A,"Yes, § 146.82(a)(7)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Permits,Engineer Labor Hours,96,Hours,128.676,$/Hour,Engineer Labor Hours,96,Hours,128.676,$/Hour,Engineer Labor Hours,96
69,Permitting & Site Construction,2.9 Permits:,BOEM/BSEE Issued CO2 Injection Permit  - per well,Injection,"Yes, § 146.82(a)(7)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Permits,,,,,,,,,,,,
70,Permitting & Site Construction,2.9 Permits:,Storage Field Operation - per site,N/A,No,N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Permits,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
71,Permitting & Site Construction,2.9 Permits:,Well (see Well Tech Cost Items) - per site,N/A,"Yes, § 144.51",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Permits,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
72,Permitting & Site Construction,2.9 Permits:,EPA UIC Class II or I - produced water disposal well  - per well,Satellite 1 - All Water Disposal,No,N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Permits,,,,,,,,,,,,
73,Permitting & Site Construction,2.9 Permits:,EPA UIC Class II or I - produced water disposal well  - per well,Satellite 2 - All Water Disposal,No,N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Permits,,,,,,,,,,,,
74,Permitting & Site Construction,2.9 Permits:,EPA UIC Class II or I - produced water disposal well  - per well,Satellite 3 - All Water Disposal,No,N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Permits,,,,,,,,,,,,
75,Permitting & Site Construction,2.9 Permits:,EPA UIC Class II or I - produced water disposal well  - per well,Satellite 4 - All Water Disposal,No,N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Permits,,,,,,,,,,,,
76,Permitting & Site Construction,2.9 Permits:,EPA UIC Class II or I - produced water disposal well  - per well,N/A,No,N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Permits,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
77,Permitting & Site Construction,2.9 Permits:,Storm Water Pollution Prevention Plan - per site,N/A,No,N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Permits,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
78,Permitting & Site Construction,2.9 Permits:,"Spill Prevention, Control, and Countermeasures Plan - per site",N/A,No,N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Permits,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
79,Permitting & Site Construction,2.9 Permits:,Local Zoning/Construction Permit - per site,N/A,"Yes, § 146.93 (f) (1)",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Permits,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
80,Permitting & Site Construction,2.9 Permits:,Offshore Pipeline - Permitting,N/A,No,N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Permits,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
81,Permitting & Site Construction,2.9 Permits:,NEPA Environmental Impact Statement - per site,N/A,No,N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Permits,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
